,MessageID,Temperature,Humidity,Altitude,Pressure,Latitude,Longitude,Hour,Minute,Second,Day,Month,Year
1,3,26.27,71.758,474.870,957.498,0.000000,0.000000,15,19,43,3,7,2020
2,5,26.26,68.494,474.748,957.512,0.000000,0.000000,15,19,45,3,7,2020
3,7,26.25,67.101,474.514,957.539,0.000000,0.000000,15,19,47,3,7,2020
4,8,26.24,66.564,474.732,957.514,0.000000,0.000000,15,19,48,3,7,2020
5,10,26.23,65.615,474.762,957.510,0.000000,0.000000,15,19,50,3,7,2020
6,12,26.22,65.057,474.564,957.533,0.000000,0.000000,15,19,52,3,7,2020
7,14,26.21,64.844,474.521,957.538,0.000000,0.000000,15,19,54,3,7,2020
8,16,26.21,64.576,475.016,957.481,0.000000,0.000000,15,19,56,3,7,2020
9,18,26.21,64.387,475.131,957.468,0.000000,0.000000,15,19,58,3,7,2020
10,25,26.24,64.056,475.306,957.448,0.000000,0.000000,15,20,5,3,7,2020
11,26,26.25,64.079,474.894,957.495,0.000000,0.000000,15,20,6,3,7,2020
12,27,26.25,64.014,474.822,957.504,0.000000,0.000000,15,20,7,3,7,2020
13,28,26.26,63.925,474.826,957.503,0.000000,0.000000,15,20,8,3,7,2020
14,29,26.26,63.925,474.941,957.490,0.000000,0.000000,15,20,9,3,7,2020
15,36,26.32,63.756,474.987,957.485,0.000000,0.000000,15,20,16,3,7,2020
16,38,26.33,63.601,474.995,957.484,0.000000,0.000000,15,20,18,3,7,2020
17,40,26.35,63.402,474.625,957.526,0.000000,0.000000,15,20,20,3,7,2020
18,42,26.36,63.281,475.017,957.481,0.000000,0.000000,15,20,22,3,7,2020
19,45,26.39,63.207,474.999,957.483,0.000000,0.000000,15,20,25,3,7,2020
20,47,26.40,63.186,475.470,957.429,0.000000,0.000000,15,20,27,3,7,2020
21,48,26.42,63.110,475.286,957.450,0.000000,0.000000,15,20,28,3,7,2020
22,51,26.43,62.957,475.378,957.440,0.000000,0.000000,15,20,31,3,7,2020
23,58,26.48,62.539,475.147,957.466,0.000000,0.000000,15,20,38,3,7,2020
24,64,26.55,62.403,474.696,957.518,0.000000,0.000000,15,20,44,3,7,2020
25,66,26.56,62.382,475.166,957.464,0.000000,0.000000,15,20,46,3,7,2020
26,67,26.58,62.340,475.063,957.476,0.000000,0.000000,15,20,47,3,7,2020
27,69,26.60,62.220,474.655,957.523,0.000000,0.000000,15,20,49,3,7,2020
28,70,26.61,62.200,474.554,957.534,0.000000,0.000000,15,20,50,3,7,2020
29,72,26.64,62.326,474.957,957.488,0.000000,0.000000,15,20,52,3,7,2020
30,74,26.67,62.296,474.975,957.486,0.000000,0.000000,15,20,54,3,7,2020
31,76,26.69,62.288,474.878,957.497,0.000000,0.000000,15,20,56,3,7,2020
32,79,26.72,62.259,474.980,957.485,0.000000,0.000000,15,20,59,3,7,2020
33,82,26.76,62.163,475.081,957.474,0.000000,0.000000,15,21,2,3,7,2020
34,85,26.78,62.189,475.600,957.414,0.000000,0.000000,15,21,5,3,7,2020
35,90,26.82,62.026,475.208,957.459,0.000000,0.000000,15,21,10,3,7,2020
36,93,26.85,61.964,474.807,957.505,0.000000,0.000000,15,21,13,3,7,2020
37,95,26.86,61.887,474.660,957.522,0.000000,0.000000,15,21,15,3,7,2020
38,96,26.87,61.889,474.861,957.499,0.000000,0.000000,15,21,16,3,7,2020
39,97,26.88,61.856,474.983,957.485,0.000000,0.000000,15,21,17,3,7,2020
40,99,26.90,61.838,474.582,957.531,0.000000,0.000000,15,21,19,3,7,2020
41,100,26.91,61.794,474.550,957.535,0.000000,0.000000,15,21,20,3,7,2020
42,101,26.92,61.783,475.204,957.460,0.000000,0.000000,15,21,21,3,7,2020
43,103,26.94,61.741,475.029,957.480,0.000000,0.000000,15,21,23,3,7,2020
44,105,26.95,61.632,474.848,957.501,0.000000,0.000000,15,21,25,3,7,2020
45,108,26.98,61.534,475.173,957.463,0.000000,0.000000,15,21,28,3,7,2020
46,111,27.00,61.436,475.228,957.457,0.000000,0.000000,15,21,31,3,7,2020
47,113,27.02,61.450,475.512,957.424,0.000000,0.000000,15,21,33,3,7,2020
48,116,27.05,61.265,475.349,957.443,0.000000,0.000000,15,21,36,3,7,2020
49,120,27.07,61.502,475.819,957.389,0.000000,0.000000,15,21,40,3,7,2020
50,124,27.09,61.327,474.882,957.497,0.000000,0.000000,15,21,44,3,7,2020
51,125,27.10,61.327,475.421,957.435,0.000000,0.000000,15,21,45,3,7,2020
52,126,27.11,61.273,475.160,957.465,0.000000,0.000000,15,21,46,3,7,2020
53,128,27.13,61.455,475.559,957.419,0.000000,0.000000,15,21,48,3,7,2020
54,130,27.15,61.457,475.692,957.404,0.000000,0.000000,15,21,50,3,7,2020
55,132,27.16,61.233,475.582,957.416,0.000000,0.000000,15,21,52,3,7,2020
56,134,27.17,61.114,475.481,957.428,0.000000,0.000000,15,21,54,3,7,2020
57,141,27.24,61.146,475.534,957.422,0.000000,0.000000,15,22,1,3,7,2020
58,151,27.30,60.604,475.459,957.431,0.000000,0.000000,15,22,11,3,7,2020
59,154,27.30,60.504,475.006,957.482,0.000000,0.000000,15,22,14,3,7,2020
60,156,27.32,60.472,475.283,957.451,0.000000,0.000000,15,22,16,3,7,2020
61,157,27.33,60.520,475.561,957.419,0.000000,0.000000,15,22,17,3,7,2020
62,160,27.37,60.445,475.591,957.415,0.000000,0.000000,15,22,20,3,7,2020
63,161,27.38,60.415,474.912,957.493,0.000000,0.000000,15,22,21,3,7,2020
64,162,27.39,60.383,475.459,957.430,0.000000,0.000000,15,22,22,3,7,2020
65,167,27.45,60.166,475.695,957.403,0.000000,0.000000,15,22,27,3,7,2020
66,169,27.47,60.067,475.210,957.459,0.000000,0.000000,15,22,29,3,7,2020
67,172,27.48,59.867,475.488,957.427,0.000000,0.000000,15,22,32,3,7,2020
68,176,27.52,59.771,475.482,957.428,0.000000,0.000000,15,22,36,3,7,2020
69,180,27.53,59.727,475.332,957.445,0.000000,0.000000,15,22,40,3,7,2020
70,183,27.55,59.596,475.502,957.426,0.000000,0.000000,15,22,43,3,7,2020
71,186,27.55,59.552,475.427,957.434,0.000000,0.000000,15,22,46,3,7,2020
72,187,27.55,59.575,475.161,957.465,0.000000,0.000000,15,22,47,3,7,2020
73,189,27.58,59.602,475.532,957.422,0.000000,0.000000,15,22,49,3,7,2020
74,192,27.60,59.548,475.357,957.442,0.000000,0.000000,15,22,52,3,7,2020
75,199,27.66,59.331,476.130,957.353,0.000000,0.000000,15,22,59,3,7,2020
76,211,27.76,59.007,475.743,957.398,0.000000,0.000000,15,23,11,3,7,2020
77,213,27.76,59.580,475.636,957.410,0.000000,0.000000,15,23,13,3,7,2020
78,214,27.77,59.503,475.794,957.392,0.000000,0.000000,15,23,14,3,7,2020
79,215,27.77,59.368,475.528,957.423,0.000000,0.000000,15,23,15,3,7,2020
80,224,27.78,58.908,475.684,957.405,0.000000,0.000000,15,23,24,3,7,2020
81,228,27.79,58.800,476.006,957.368,0.000000,0.000000,15,23,28,3,7,2020
82,229,27.80,58.744,475.509,957.425,0.000000,0.000000,15,23,29,3,7,2020
83,230,27.80,58.812,475.854,957.385,0.000000,0.000000,15,23,30,3,7,2020
84,232,27.80,58.699,475.588,957.416,0.000000,0.000000,15,23,32,3,7,2020
85,233,27.81,58.712,475.595,957.415,0.000000,0.000000,15,23,33,3,7,2020
86,235,27.82,58.713,475.988,957.423,0.000000,0.000000,15,23,36,3,7,2020
87,236,27.82,58.612,475.607,957.414,0.000000,0.000000,15,23,36,3,7,2020
88,237,27.83,58.614,475.921,957.378,0.000000,0.000000,15,23,37,3,7,2020
89,238,27.84,58.660,475.583,957.416,0.000000,0.000000,15,23,38,3,7,2020
90,239,27.86,58.572,475.559,957.419,0.000000,0.000000,15,23,39,3,7,2020
91,246,27.92,58.423,475.563,957.419,0.000000,0.000000,15,23,46,3,7,2020
92,247,27.93,58.356,475.417,957.435,0.000000,0.000000,15,23,47,3,7,2020
93,248,27.93,58.392,475.460,957.430,0.000000,0.000000,15,23,48,3,7,2020
